Indx,Frequency,dB(Spec),Indx,Frequency,dB(Spec)
88,"0,1730885041","-11,2958592616",88,"0,1666422521","-12,8300024529"
89,"0,1753845657","-11,2757794706",89,"0,1691064054","-12,8869376919"
90,"0,1776806273","-11,2718620278",90,"0,1715705586","-12,9260120874"
91,"0,1799766888","-11,2877449857",91,"0,1740347118","-12,9481033786"
92,"0,1821307959","-11,322733466",92,"0,1764988651","-12,9548001255"
93,"0,184284903","-11,3778773769",93,"0,1789630183","-12,9483417036"
94,"0,18643901","-11,4525872976",94,"0,1814401376","-12,9314120836"
95,"0,1885931171","-11,5450796471",95,"0,1839172569","-12,9072764595"
96,"0,1907472241","-11,6525564384",96,"0,1863943762","-12,8794386593"
97,"0,1932295794","-11,7903371948",97,"0,1888714955","-12,8514128473"
98,"0,1957119347","-11,9371171978",98,"0,1913486148","-12,8264626831"
99,"0,1981942899","-12,0864962024",99,"0,1938257341","-12,807332269"
100,"0,2006766452","-12,2323246068",100,"0,1963028534","-12,7960009739"
101,"0,2030471795","-12,3631671661",101,"0,1987799727","-12,7934978214"
102,"0,2054177138","-12,4815981849",102,"0,2006760078","-12,7975746985"
103,"0,2077882481","-12,5842955989",103,"0,2025720429","-12,8064143794"
104,"0,2101587824","-12,6687665141",104,"0,204468078","-12,8192675804"
105,"0,2125293167","-12,7333452359",105,"0,2063641132","-12,8351041576"
106,"0,2146566027","-12,7736380678",106,"0,2063641132","-12,8351041576"
107,"0,2167838887","-12,79711882",107,"0,2078322926","-12,8486291652"
108,"0,2189111747","-12,8041818174",108,"0,209300472","-12,8625532309"
109,"0,2210384607","-12,7956868118",109,"0,2114354125","-12,8821208114"
110,"0,2231657467","-12,7729393322",110,"0,213570353","-12,898996883"
111,"0,2252930327","-12,7376671684",111,"0,2157052935","-12,9111559304"
112,"0,2277791513","-12,6834292833",112,"0,217840234","-12,9167660808"
113,"0,2302652699","-12,6189663666",113,"0,2203053748","-12,913102364"
114,"0,2327513884","-12,5487569788",114,"0,2227705157","-12,8969298039"
115,"0,235237507","-12,4775887872",115,"0,2252356565","-12,8673065774"
116,"0,2377236256","-12,4103014882",116,"0,2277007973","-12,8241874566"
117,"0,2402097442","-12,3514781373",117,"0,2300988194","-12,7701593528"
118,"0,2426065017","-12,3065234596",118,"0,2324968416","-12,7059742307"
119,"0,2450032592","-12,2759313519",119,"0,2348948637","-12,6342626991"
120,"0,2474000167","-12,2614843874",120,"0,2372928858","-12,5584754257"
121,"0,2497967741","-12,2638439288",121,"0,2396882502","-12,4828362714"
122,"0,2521935316","-12,2825392817",122,"0,2420836145","-12,4118672877"
123,"0,2546703664","-12,3174223869",123,"0,2444789788","-12,3503466231"
124,"0,2571472011","-12,365564581",124,"0,2468743432","-12,3028407014"
125,"0,2596240358","-12,4237467327",125,"0,2490819457","-12,2748639769"
126,"0,2621008706","-12,4884412198",126,"0,2512895483","-12,264395447"
127,"0,2645777053","-12,5561208169",127,"0,2534971508","-12,2726769852"
128,"0,2668289509","-12,617466877",128,"0,2557047534","-12,2997711296"
129,"0,2690801965","-12,6764311987",129,"0,2580778382","-12,3485258472"
130,"0,2713314422","-12,7312547581",130,"0,2604509231","-12,4147515855"
131,"0,2735826878","-12,7806006579",131,"0,2628240079","-12,4942721274"
132,"0,2758339334","-12,8235648288",132,"0,2651970927","-12,5820074972"
133,"0,278085179","-12,8596629655",133,"0,2675023599","-12,6698035349"
134,"0,2803364246","-12,8887991899",134,"0,269807627","-12,7548275535"
135,"0,282576079","-12,9111219197",135,"0,2721128942","-12,8319666649"
136,"0,2848157334","-12,9273257019",136,"0,2744181613","-12,8964377038"
137,"0,2870553878","-12,9381586383",137,"0,2767234285","-12,9439087269"
138,"0,2892950422","-12,9445246919",138,"0,2791440757","-12,9712885109"
139,"0,2915346965","-12,9474161604",139,"0,281564723","-12,9719380494"
140,"0,2937743509","-12,9478468381",140,"0,2839853703","-12,942722993"
141,"0,2960140053","-12,9467889397",141,"0,2864060176","-12,8811403043"
142,"0,2982575975","-12,9451140478",142,"0,2888266649","-12,7853071513"
143,"0,3005011898","-12,9435579484",143,"0,2912004632","-12,6568541923"
144,"0,302744782","-12,9426782981",144,"0,2935742615","-12,4937041202"
145,"0,3049883742","-12,9428376535",145,"0,2959480598","-12,2960104188"
146,"0,3072319665","-12,9442015769",146,"0,2983218582","-12,064769846"
147,"0,3094755587","-12,9467519901",147,"0,3006956565","-11,8020250681"
148,"0,3117191509","-12,9503137683",148,"0,302829141","-11,5417391248"
149,"0,3139627431","-12,9545914567",149,"0,3049626254","-11,2622823584"
150,"0,3162063354","-12,9592122822",150,"0,3070961099","-10,9685599061"
151,"0,3186525278","-12,9641662604",151,"0,309542732","-10,6225952123"
152,"0,3210987203","-12,9685403125",152,"0,311989354","-10,2790091495"
153,"0,3235449127","-12,971902456",153,"0,3144359761","-9,9534204212"
